,Ticker,Company,Country,Sector,Date,Weight
23,ACP US,AVENUE INCOME CREDIT STRATEGIE,United States,Senior Loan,2015-12-31,0.913797
24,BGT US,BLACKROCK FLOATING RATE INM CF,United States,Senior Loan,2015-12-31,1.77265
25,BGX US,BLACKSTONE/GSO LONG-SHORT CRED,United States,Senior Loan,2015-12-31,1.30519
26,PFN US,PIMCO FLOATING RATE STRATEGY FUND,United States,Limited Duration Bond Funds,2015-12-31,2.31041
27,FCT US,FIRST TRUST SENIOR FLOATING RA,United States,Senior Loan,2015-12-31,1.96484
28,PHD US,PIONEER FLOATING RATE TRUST,United States,Senior Loan,2015-12-31,1.95171
29,ESD US,WESTERN ASST EMER MKT DEBT CF,United States,Limited Duration Bond Funds,2015-12-31,3.60072
30,PFL US,PIMCO INCOME STRATEGY FUND,United States,Limited Duration Bond Funds,2015-12-31,1.11118
31,JQC US,NUVEEN CREDIT STRATEGIES INCOM,United States,Senior Loan,2015-12-31,7.99687
32,FRA US,FRAPORT AG FRANKFURT AIRPORT SERVICES WORLDWIDE,United States,Senior Loan,2015-12-31,3.54455
33,VVR US,VAN KAMPEN SENIOR INCOME TRUST,United States,Senior Loan,2015-12-31,4.34761
34,EFT US,EATON VANCE FLOATING RATE INCOME TRUST,United States,Senior Loan,2015-12-31,2.97256
35,VTA US,INVESCO DYNAMIC CREDIT OPPORTU,United States,Senior Loan,2015-12-31,5.95076
0,AFT US,APOLLO SENIOR FLOATING RATE FU,United States,Senior Loan,2015-10-01,1.04
1,ACP US,AVENUE INCOME CREDIT STRATEGIE,United States,Senior Loan,2015-10-01,1.02
2,JQC US,NUVEEN CREDIT STRATEGIES INCOM,United States,Senior Loan,2015-10-01,7.99
3,FTF US,FRANKLIN TEMPLETON LTD DUR INCOME CF,United States,Limited Duration Bond Funds,2015-10-01,2.45
4,VTA US,INVESCO DYNAMIC CREDIT OPPORTU,United States,Senior Loan,2015-10-01,5.88
5,ESD US,WESTERN ASST EMER MKT DEBT CF,United States,Limited Duration Bond Funds,2015-10-01,3.48
6,EVV US,EATON VANCE LIMITED DURATION I,United States,Limited Duration Bond Funds,2015-10-01,8.15
7,BGX US,BLACKSTONE/GSO LONG-SHORT CRED,United States,Senior Loan,2015-10-01,1.36
8,NSL US,NUVEEN SENIOR INCOME FUND,United States,Senior Loan,2015-10-01,1.67
9,DSU US,BLACKROCK DEBT STRATEGIES FUND INC,United States,Limited Duration Bond Funds,2015-10-01,5.24
10,NHF US,NEXPOINT CREDIT STRATEGIES FUN,United States,Limited Duration Bond Funds,2015-10-01,2.86
11,GHY US,PRUDENTIAL GLOBAL SHORT DURATI,United States,Limited Duration Bond Funds,2015-10-01,4.19
12,PPR US,ING PRIME RATE CF,United States,Senior Loan,2015-10-01,4.38
13,BGH US,BABSON CAPITAL GLOBAL SHORT DU,United States,Limited Duration Bond Funds,2015-10-01,2.04
14,KIO US,KUMBA IRON ORE,United States,Limited Duration Bond Funds,2015-10-01,1.68
15,ARDC US,ARES DYNAMIC CREDIT ALLOCATION,United States,Senior Loan,2015-10-01,1.99
16,PFL US,PIMCO INCOME STRATEGY FUND,United States,Limited Duration Bond Funds,2015-10-01,1.09
17,FCT US,FIRST TRUST SENIOR FLOATING RA,United States,Senior Loan,2015-10-01,1.98
18,EVG US,EATON VANCE SHORT DURATION DIV,United States,Limited Duration Bond Funds,2015-10-01,1.86
19,AIF US,APOLLO TACTICAL INCOME FUND IN,United States,Limited Duration Bond Funds,2015-10-01,1.58
20,PHD US,PIONEER FLOATING RATE TRUST,United States,Senior Loan,2015-10-01,2
21,BHL US,BLACKROCK DEFINED OPPORTUNITY,United States,Limited Duration Bond Funds,2015-10-01,0.58
22,JFR US,NUVEEN FLOATING RATE INCOME FU,United States,Senior Loan,2015-10-01,3.31
23,FRA US,FRAPORT AG FRANKFURT AIRPORT SERVICES WORLDWIDE,United States,Senior Loan,2015-10-01,3.51
24,EVF US,EATON VANCE SENIOR INCOME TRUS,United States,Senior Loan,2015-10-01,1.64
25,ISD US,PRUDENTIAL SHORT DURATION HIGH,United States,Limited Duration Bond Funds,2015-10-01,3.64
